customer_id,transaction_id,transaction_date,transaction_type,transaction_amount,balance_after_transaction
62,62,5/7/2023,Withdrawal,4762.12,1815.93
63,63,11/15/2023,Transfer,3992.87,-691.91
64,64,3/16/2023,Withdrawal,2220.81,7109.6
65,65,11/5/2023,Deposit,1588.59,5913.15
66,66,3/17/2023,Transfer,1012.86,5595.86
67,67,12/16/2023,Transfer,1170.15,5769.61
68,68,10/2/2023,DEP,4951.69,14911.38
69,69,10/28/2023,Transfer,2656.44,6456.16
70,70,8/23/2023,Deposit,71.14,1102.54
71,71,2/24/2023,withdraw,231.02,5200.74
72,72,7/18/2023,Withdrawal,2299.24,6560.82
73,73,1/29/2023,Withdrawal,2222.97,3663.78
74,74,10/31/2023,Transfer,2033.74,9985.31
75,75,11/24/2023,Deposit,4119.78,4762.94
76,76,3/4/2023,Transfer,3518.75,3247.86
77,77,5/29/2023,Transfer,546.01,1430.03
78,78,11/9/2023,Withdrawal,1819.77,3788.16
79,79,9/26/2023,Transfer,2987.43,2040.47
80,80,6/4/2023,Deposit,1918.62,11380.1
81,81,7/15/2023,Deposit,1049.44,361.96
82,82,12/10/2023,Deposit,3143.98,-2950.02
83,83,4/15/2023,Deposit,3015.22,4475.03
84,84,9/22/2023,Deposit,4873.3,-3083.31
85,85,3/15/2023,DEP,2809.74,-225.72
86,86,3/16/2023,Deposit,4372.74,3796.64
87,87,4/7/2023,Deposit,4746.49,8577.61
88,88,8/29/2023,Transfer,2179.57,10603.07
89,89,5/19/2023,Transfer,273.94,3066.09
90,90,4/19/2023,Deposit,726.04,7893.32
91,91,1/28/2023,withdraw,2524.81,2704.91
92,92,4/12/2023,Withdrawal,4465.86,4886.04
93,93,12/16/2023,DEP,3274.12,10760.01
94,94,4/29/2023,Deposit,1015.39,3170.64
95,95,3/13/2023,Withdrawal,3508.21,9323.83
96,96,1/27/2023,Transfer,4472.15,13809.02
97,97,5/30/2023,Transfer,160.83,5706.52
98,98,6/19/2023,Transfer,1221.63,3584.46
99,99,6/9/2023,Deposit,774.37,6545.82
100,100,5/22/2023,Withdrawal,3922.67,12650.0
101,101,6/3/2023,Withdrawal,4458.47,14334.22
102,102,9/7/2023,Deposit,2777.24,3105.18
103,103,7/2/2023,Deposit,4242.53,-2601.64
104,104,7/22/2023,Deposit,3288.12,4452.23
105,105,3/12/2023,Deposit,3286.93,6682.49
106,106,7/2/2023,Transfer,2902.74,1886.26
107,107,6/22/2023,Withdrawal,259.59,3639.36
108,108,1/30/2023,Withdrawal,4685.52,10255.28
109,109,11/18/2023,Withdrawal,1785.3,3516.49
110,110,12/21/2023,Transfer,4014.86,5700.85
111,111,6/3/2023,Transfer,4051.82,12451.33
112,112,3/30/2023,Withdrawal,4829.15,6047.76
113,113,8/9/2023,Transfer,1640.23,11096.54
114,114,11/7/2023,Transfer,4987.02,4446.89
115,115,12/24/2023,Withdrawal,1509.87,1722.04
116,116,11/17/2023,Deposit,2262.34,8491.85
117,117,1/25/2023,Withdrawal,3534.19,-2337.72
118,118,4/8/2023,Deposit,783.39,1716.88
119,119,2/11/2023,Transfer,1339.2,6406.97
120,120,10/27/2023,Deposit,3643.29,-3051.48
121,121,3/10/2023,Deposit,4872.18,13633.61
122,122,12/27/2023,Deposit,3666.67,5621.47
123,123,9/21/2023,Deposit,4312.87,-3546.54
124,124,12/28/2023,Transfer,197.06,765.18
125,125,3/4/2023,Withdrawal,2889.36,5181.4
126,126,7/25/2023,Withdrawal,4571.32,4735.27
127,127,5/28/2023,Deposit,3415.16,4298.08
128,128,11/25/2023,Withdrawal,3385.55,10182.88
129,129,9/12/2023,Withdrawal,1023.17,6762.67
130,130,9/8/2023,Withdrawal,4307.09,6381.91
131,131,9/18/2023,Withdrawal,4326.58,6966.8
132,132,5/9/2023,Transfer,3073.9,170.62
133,133,1/11/2023,Withdrawal,2138.82,8228.97
134,134,1/17/2023,Deposit,4123.12,1998.26
135,135,3/9/2023,Withdrawal,2330.33,4495.55
136,136,1/5/2023,withdraw,4114.85,8538.45
137,137,7/25/2023,Withdrawal,2429.73,9360.93
138,138,3/23/2023,Deposit,2903.17,6068.4
139,139,3/8/2023,Transfer,3742.63,4589.85
140,140,9/2/2023,Withdrawal,1332.32,721.84
141,141,9/24/2023,Deposit,1241.76,2972.64
142,142,8/27/2023,Deposit,3342.53,9698.76
143,143,8/19/2023,Deposit,4770.03,-3991.4
144,144,8/16/2023,Withdrawal,2235.71,6623.31
145,145,6/2/2023,Transfer,4492.03,5427.46
146,146,2/11/2023,Withdrawal,2595.75,3423.56
147,147,10/18/2023,Transfer,4869.92,14172.29
148,148,3/20/2023,Transfer,3962.32,-3244.33
149,149,2/28/2023,Deposit,4299.19,-406.45
150,150,4/27/2023,Deposit,3401.22,6747.88
151,151,9/6/2023,Deposit,4343.78,-836.11
152,152,2/17/2023,Withdrawal,2968.06,3075.02
153,153,8/1/2023,Transfer,2841.01,5535.83
154,154,9/16/2023,Deposit,4369.82,-3999.32
155,155,1/24/2023,Withdrawal,85.18,9541.34
156,156,8/24/2023,Transfer,2399.11,5113.77
157,157,7/16/2023,Transfer,4351.67,-2913.91
158,158,12/23/2023,Withdrawal,988.79,5594.84
159,159,2/2/2023,Transfer,4790.47,-4069.52
160,160,11/22/2023,Withdrawal,3705.6,4081.38
161,161,6/24/2023,Deposit,3814.49,-3244.12
162,162,2/22/2023,Transfer,3330.73,4251.47
163,163,6/22/2023,Withdrawal,2242.9,6747.65
164,164,7/30/2023,withdraw,2310.17,10769.7
165,165,11/9/2023,Deposit,4197.15,-1075.52
166,166,8/1/2023,withdraw,704.31,8480.0
167,167,7/17/2023,Transfer,2615.12,-1743.57
168,168,10/23/2023,Deposit,1556.64,7944.21
169,169,1/3/2023,Deposit,4921.74,8591.7
170,170,2/18/2023,Deposit,28.43,2811.15
171,171,1/14/2023,Withdrawal,327.73,7841.85
172,172,7/25/2023,Transfer,4837.27,5451.3
173,173,7/13/2023,Deposit,2723.52,6776.84
174,174,10/8/2023,Transfer,701.29,8578.19
175,175,9/17/2023,Deposit,2248.72,1371.81
176,176,9/4/2023,withdraw,1620.06,11534.26
177,177,3/4/2023,Deposit,4556.93,6661.57
178,178,2/24/2023,Transfer,3441.02,7524.92
179,179,9/15/2023,Deposit,661.29,9521.6
180,180,1/23/2023,DEP,2686.86,12655.25
181,181,4/18/2023,Transfer,680.96,3148.18
182,182,6/25/2023,DEP,3329.5,10786.32
183,183,1/15/2023,Deposit,3638.86,6765.58
184,184,11/3/2023,Transfer,2815.18,4872.9
185,185,6/1/2023,Withdrawal,4830.12,6170.43
186,186,10/3/2023,Transfer,4722.23,-1294.15
187,187,11/8/2023,Withdrawal,1037.52,-195.02
188,188,2/7/2023,Deposit,11.64,4958.14
189,189,10/8/2023,Deposit,3317.12,3727.74
190,190,3/27/2023,Deposit,2383.45,6231.75
191,191,11/20/2023,Deposit,1679.95,7865.65
192,192,3/21/2023,Deposit,4585.28,1148.68
193,193,11/16/2023,Deposit,4892.75,-1876.24
194,194,6/20/2023,Transfer,4653.58,9572.68
195,195,3/12/2023,Transfer,2505.97,-1722.68
196,196,3/29/2023,Withdrawal,3519.75,8172.89
197,197,2/26/2023,Deposit,866.15,5502.23
198,198,6/16/2023,Deposit,4754.77,-4370.46
199,199,4/29/2023,Transfer,1425.55,3761.8
200,200,10/12/2023,Withdrawal,971.77,8374.94
201,201,8/24/2023,Withdrawal,310.19,4887.49
202,202,11/16/2023,Withdrawal,2756.35,9252.0
203,203,10/30/2023,Deposit,4742.83,10113.8
204,204,1/20/2023,Deposit,686.59,8559.86
205,205,1/7/2023,Withdrawal,612.94,5806.05
206,206,7/29/2023,Deposit,1370.26,2012.67
207,207,8/26/2023,withdraw,3330.32,11623.25
208,208,12/16/2023,Deposit,2743.59,3513.04
209,209,4/24/2023,DEP,490.07,3455.69
210,210,11/5/2023,Withdrawal,2217.08,3738.62
211,211,6/7/2023,Withdrawal,343.99,8918.65
212,212,11/18/2023,withdraw,4261.0,-3446.8
213,213,5/7/2023,Deposit,544.49,1595.41
214,214,7/22/2023,Deposit,2361.78,533.83
215,215,8/12/2023,Deposit,2557.21,954.05
216,216,3/11/2023,Transfer,2655.33,5795.7
217,217,12/14/2023,Transfer,3049.68,12642.82
218,218,4/30/2023,Transfer,3510.9,3781.46
219,219,6/2/2023,Transfer,31.75,220.28
220,220,1/23/2023,Deposit,164.26,8497.36
221,221,5/20/2023,Deposit,3061.64,-1619.03
222,222,4/22/2023,Deposit,918.89,4378.32
223,223,5/18/2023,Transfer,4160.91,-1336.3
224,224,6/29/2023,Withdrawal,3141.28,-250.78
225,225,4/29/2023,Withdrawal,4902.2,8255.26
226,226,5/10/2023,Deposit,3642.74,7069.6
227,227,7/7/2023,DEP,462.66,6702.2
228,228,3/22/2023,Transfer,863.17,7188.13
229,229,7/20/2023,Transfer,242.28,5518.91
230,230,11/23/2023,withdraw,3708.47,4891.09
231,231,3/15/2023,Withdrawal,642.85,7829.3
232,232,10/5/2023,Deposit,3322.2,-1071.75
233,233,5/6/2023,Transfer,2781.43,2700.6
234,234,6/5/2023,DEP,3170.16,4689.83
235,235,7/2/2023,Transfer,2548.26,11230.32
236,236,4/16/2023,Withdrawal,75.01,2701.35
237,237,11/30/2023,Deposit,1273.56,3718.03
238,238,5/27/2023,Transfer,4426.06,871.71
239,239,1/1/2023,Deposit,4647.05,11673.47
240,240,7/3/2023,Transfer,495.08,2874.49
241,241,3/29/2023,Withdrawal,4763.62,-1758.45
242,242,7/11/2023,Withdrawal,3355.92,3729.5
243,243,3/28/2023,Transfer,4613.56,8666.98
244,244,3/10/2023,Transfer,2011.81,2151.65
245,245,12/6/2023,Transfer,517.71,8866.97
246,246,4/20/2023,Withdrawal,1519.24,3100.73
247,247,12/26/2023,Deposit,3451.51,5022.99
248,248,6/21/2023,withdraw,3978.16,4223.66
249,249,6/26/2023,Transfer,260.11,3681.59
250,250,4/9/2023,Deposit,2439.89,909.05
251,251,2/5/2023,Deposit,331.19,5930.52
252,252,8/13/2023,Deposit,4319.43,5003.91
253,253,12/10/2023,Deposit,2386.93,58.99
254,254,10/20/2023,Withdrawal,4574.96,-3947.58
255,255,9/10/2023,Withdrawal,402.11,2583.84
256,256,2/20/2023,Withdrawal,1659.05,10371.36
257,257,10/20/2023,Transfer,3385.93,12488.32
258,258,6/2/2023,Transfer,1474.99,4638.41
259,259,12/8/2023,Withdrawal,4209.38,6166.49
260,260,8/25/2023,Deposit,4934.3,-3495.07
261,261,9/18/2023,Withdrawal,1413.29,5418.04
262,262,5/16/2023,Deposit,1811.78,6469.64
263,263,9/11/2023,Deposit,4837.05,3704.32
264,264,11/5/2023,DEP,1796.72,-1242.03
265,265,4/15/2023,Transfer,2784.37,-613.0
266,266,10/10/2023,Deposit,3848.52,5959.91
267,267,11/13/2023,withdraw,2197.34,10498.8
268,268,11/17/2023,Withdrawal,1869.31,2747.98
269,269,3/25/2023,Deposit,2482.99,6230.1
270,270,7/18/2023,Deposit,3899.8,13470.2
271,271,2/14/2023,Withdrawal,1567.69,7693.35
272,272,7/8/2023,Deposit,1760.53,6217.59
273,273,2/19/2023,Transfer,953.81,2324.3
274,274,10/31/2023,Transfer,3511.07,-1718.14
275,275,7/20/2023,Transfer,4498.26,5707.89
276,276,6/24/2023,Withdrawal,936.84,7773.83
277,277,5/22/2023,Withdrawal,182.6,5774.0
278,278,10/2/2023,Transfer,1912.54,3698.24
279,279,7/9/2023,Withdrawal,2056.67,-982.73
280,280,5/14/2023,Withdrawal,3232.86,11186.28
281,281,4/11/2023,Withdrawal,437.1,5839.27
282,282,12/12/2023,Transfer,4109.28,-3108.68
283,283,9/26/2023,Withdrawal,2874.19,10370.78
284,284,12/23/2023,Withdrawal,2734.39,7080.46
285,285,10/29/2023,Transfer,1588.65,2879.04
286,286,2/2/2023,Transfer,1832.68,3077.66
287,287,4/26/2023,Withdrawal,286.58,1390.43
288,288,4/7/2023,withdraw,3771.24,-3415.03
289,289,2/10/2023,Deposit,3027.64,10754.58
290,290,11/25/2023,Transfer,4882.38,11852.99
291,291,7/26/2023,Deposit,1774.27,4109.7
292,292,1/29/2023,Deposit,3334.56,4345.17
293,293,9/20/2023,Deposit,4598.53,5394.52
294,294,4/5/2023,Deposit,3561.29,7639.58
295,295,7/1/2023,Transfer,211.15,6876.37
296,296,1/11/2023,Transfer,3164.86,6998.76
297,297,2/11/2023,Transfer,2731.5,6316.87
298,298,9/18/2023,Deposit,2501.57,11025.68
299,299,1/2/2023,Transfer,2769.69,8559.85
300,300,2/12/2023,Transfer,2308.22,3602.29
301,301,1/4/2023,Transfer,3462.24,7557.05
302,302,12/3/2023,Withdrawal,84.42,7901.47
303,303,4/5/2023,Deposit,950.91,10356.89
304,304,2/28/2023,Transfer,1833.27,4349.57
305,305,1/30/2023,Transfer,2268.81,6271.53
306,306,3/29/2023,Deposit,661.13,1933.5
307,307,11/26/2023,Deposit,4102.53,8380.56
308,308,8/8/2023,Transfer,4647.66,10347.64
309,309,5/8/2023,Withdrawal,3758.57,3902.3
310,310,6/20/2023,Transfer,4644.8,7404.71
311,311,12/18/2023,Withdrawal,3718.67,10466.68
312,312,8/13/2023,Deposit,2210.87,4554.1
313,313,10/1/2023,Deposit,1971.73,8536.5
314,314,6/14/2023,Withdrawal,840.33,10344.76
315,315,6/7/2023,Deposit,441.37,5287.23
316,316,7/16/2023,Withdrawal,1105.9,1664.41
317,317,11/11/2023,Transfer,2665.36,5469.61
318,318,1/30/2023,Transfer,683.39,4638.23
319,319,7/15/2023,withdraw,4756.31,7225.29
320,320,6/18/2023,Deposit,1100.33,4511.49
321,321,11/3/2023,DEP,4169.82,-1208.38
322,322,12/10/2023,Withdrawal,4095.91,8117.89
323,323,3/8/2023,DEP,714.61,7676.87
324,324,7/3/2023,Transfer,3556.61,13516.5
325,325,8/26/2023,Transfer,4122.33,10605.17
326,326,7/21/2023,Transfer,4422.59,7259.74
327,327,4/19/2023,Withdrawal,4770.36,-3774.75
328,328,8/6/2023,Transfer,4651.22,8334.7
329,329,3/17/2023,withdraw,1562.57,-1271.39
330,330,11/17/2023,Deposit,1345.6,6046.67
331,331,1/2/2023,Transfer,1993.68,8627.52
332,332,1/11/2023,Deposit,2330.38,7497.16
333,333,3/17/2023,Transfer,1177.09,9843.38
334,334,4/2/2023,Transfer,439.56,5430.66
335,335,4/7/2023,Deposit,3286.37,1391.19
336,336,6/19/2023,Deposit,879.46,2286.34
337,337,9/16/2023,Transfer,4575.35,3817.03
338,338,10/24/2023,Withdrawal,1445.55,7600.08
339,339,11/1/2023,Withdrawal,996.45,8784.95
340,340,3/24/2023,Deposit,978.85,8835.12
341,341,3/23/2023,Deposit,1454.45,8351.74
342,342,10/20/2023,Transfer,3064.71,10213.1
343,343,12/14/2023,withdraw,4891.8,10562.06
344,344,8/11/2023,Withdrawal,2436.48,-630.27
345,345,9/20/2023,Transfer,3002.39,4691.54
346,346,2/7/2023,Withdrawal,4214.57,11589.88
347,347,5/13/2023,Transfer,1676.85,6762.93
348,348,3/2/2023,Transfer,907.58,5585.85
349,349,3/24/2023,Deposit,2173.8,6761.17
350,350,7/24/2023,Transfer,1600.28,8815.16
351,351,1/28/2023,Withdrawal,4331.99,6126.13
352,352,7/4/2023,Withdrawal,4889.92,-2741.58
353,353,5/10/2023,Transfer,3444.7,4716.53
354,354,3/11/2023,Deposit,3272.27,7586.63
355,355,7/26/2023,Withdrawal,3573.96,-1008.73
356,356,6/5/2023,Deposit,2343.65,1939.86
357,357,2/6/2023,Transfer,3147.68,4845.32
358,358,8/5/2023,withdraw,365.59,9293.78
359,359,4/6/2023,Withdrawal,2472.31,-1664.07
360,360,9/6/2023,Withdrawal,1668.51,5265.6
361,361,7/2/2023,withdraw,275.37,5338.22
362,362,4/11/2023,Transfer,2728.43,11477.52
363,363,8/16/2023,Deposit,1807.68,6029.65
364,364,12/4/2023,Withdrawal,2957.16,-2635.17
365,365,1/3/2023,Withdrawal,2570.77,5699.19
366,366,3/12/2023,Deposit,1388.34,7805.73
367,367,4/7/2023,Transfer,2704.52,4124.67
368,368,3/26/2023,DEP,1900.08,8113.11
369,369,8/27/2023,Transfer,4606.37,12803.52
370,370,6/25/2023,Withdrawal,1884.41,4176.5
371,371,10/20/2023,Transfer,210.35,9781.2
372,372,5/11/2023,Withdrawal,3820.23,8939.56
373,373,6/26/2023,Transfer,4818.78,1945.22
374,374,4/11/2023,Transfer,855.23,1651.93
375,375,8/5/2023,Withdrawal,4864.19,3286.47
376,376,7/7/2023,Transfer,3089.8,9368.42
377,377,9/3/2023,Transfer,4238.46,1417.84
378,378,12/19/2023,Withdrawal,2369.75,9486.96
379,379,9/26/2023,Deposit,3116.38,8765.43
380,380,6/30/2023,Withdrawal,4206.88,3480.99
381,381,11/2/2023,DEP,4914.17,962.63
382,382,6/3/2023,Withdrawal,932.14,6180.67
383,383,6/30/2023,Deposit,4494.75,-3058.06
384,384,2/26/2023,Deposit,3339.69,8110.81
385,385,2/15/2023,Withdrawal,4734.84,10163.36
386,386,12/16/2023,Transfer,1597.35,7880.63
387,387,3/27/2023,Withdrawal,1220.54,5833.87
388,388,8/23/2023,Deposit,1833.96,-282.19
389,389,3/23/2023,Deposit,4423.65,-2835.06
390,390,6/27/2023,Deposit,2303.57,4934.21
391,391,11/22/2023,Withdrawal,4757.86,1890.47
392,392,4/3/2023,Deposit,1219.28,3888.32
393,393,7/17/2023,Transfer,1110.51,5624.5
394,394,6/11/2023,Transfer,3395.24,6534.12
395,395,8/14/2023,Transfer,1465.4,426.73
396,396,7/12/2023,Withdrawal,654.48,2674.54
397,397,5/26/2023,Transfer,1885.93,4586.55
398,398,9/11/2023,Withdrawal,1338.17,-422.14
399,399,10/10/2023,Deposit,2070.78,3023.64
400,400,1/10/2023,Withdrawal,940.69,3623.06
401,401,5/10/2023,Transfer,4785.34,11959.96
402,402,11/11/2023,Withdrawal,4010.23,10251.26
403,403,4/1/2023,Withdrawal,4206.1,-706.66
404,404,3/4/2023,Withdrawal,1495.98,6509.39
405,405,1/15/2023,Withdrawal,4285.23,9692.45
406,406,8/30/2023,withdraw,2958.01,12141.74
407,407,7/12/2023,Withdrawal,293.09,10111.86
408,408,12/27/2023,Withdrawal,774.77,7399.1
409,409,8/4/2023,Withdrawal,2235.35,3429.49
410,410,9/19/2023,Deposit,1974.99,11263.25
411,411,8/9/2023,Deposit,3978.44,5841.76
412,412,5/14/2023,Deposit,4369.61,11364.92
413,413,10/21/2023,Withdrawal,4326.0,8984.63
414,414,10/31/2023,Withdrawal,1882.69,-349.68
415,415,1/15/2023,Deposit,3182.52,-2337.94
416,416,11/24/2023,Withdrawal,2490.49,2368.85
417,417,1/29/2023,Withdrawal,4445.71,6911.51
418,418,9/15/2023,Deposit,4445.97,7025.98
419,419,11/27/2023,Deposit,278.82,2991.33
420,420,7/20/2023,Transfer,2864.98,4346.83
421,421,3/29/2023,Deposit,2522.3,-797.81
422,422,6/11/2023,Deposit,3854.26,11058.06
423,423,1/24/2023,Deposit,987.08,8835.91
424,424,8/29/2023,Deposit,3478.04,9463.39
425,425,4/12/2023,Withdrawal,3695.66,6246.48
426,426,10/8/2023,Deposit,143.46,466.71
427,427,4/27/2023,Withdrawal,2162.03,6300.69
428,428,2/2/2023,Withdrawal,4894.94,13384.65
429,429,12/30/2023,Deposit,1510.02,-401.5
430,430,9/11/2023,Deposit,4423.82,3050.0
431,431,10/26/2023,Transfer,2938.58,7670.69
432,432,1/17/2023,Withdrawal,1489.76,7508.69
433,433,1/7/2023,Deposit,4181.58,-555.22
434,434,1/27/2023,Withdrawal,4953.4,2123.61
435,435,2/5/2023,Transfer,3712.61,3714.57
436,436,9/28/2023,Deposit,315.86,2383.4
437,437,3/11/2023,Transfer,271.53,1394.12
438,438,7/4/2023,Withdrawal,2462.86,-1444.82
439,439,8/16/2023,Transfer,40.27,7005.4
440,440,3/10/2023,Transfer,3382.98,2143.71
441,441,2/22/2023,Withdrawal,91.35,1049.87
442,442,8/25/2023,Withdrawal,4865.59,-1713.08
443,443,7/16/2023,withdraw,4404.36,5913.59
444,444,1/2/2023,Withdrawal,4078.74,5096.28
445,445,4/17/2023,Withdrawal,4063.94,-1006.11
446,446,5/26/2023,Withdrawal,4173.53,5226.86
447,447,6/9/2023,Transfer,2176.94,498.9
448,448,8/27/2023,Withdrawal,3961.36,1610.56
449,449,5/6/2023,Withdrawal,1842.08,3810.87
450,450,6/6/2023,Withdrawal,4243.45,-2480.23
451,451,11/1/2023,Withdrawal,3093.65,5084.68
452,452,7/27/2023,Deposit,1798.14,6766.08
453,453,7/22/2023,Transfer,3729.91,-1977.25
454,454,11/12/2023,Transfer,1221.69,-668.85
455,455,5/7/2023,Deposit,4823.67,-2299.94
456,456,10/11/2023,Transfer,3327.08,9133.7
457,457,12/8/2023,Transfer,2012.0,-1840.48
458,458,6/4/2023,Withdrawal,2758.13,12609.5
459,459,5/16/2023,Transfer,3690.47,-1309.61
460,460,5/31/2023,Deposit,3988.64,6446.0
461,461,2/1/2023,Transfer,4875.04,2537.27
462,462,1/15/2023,Deposit,1052.7,1504.27
463,463,12/13/2023,Deposit,2527.15,1494.75
464,464,5/8/2023,Transfer,466.37,5951.17
465,465,4/6/2023,Withdrawal,420.55,737.09
466,466,11/9/2023,Deposit,530.62,7858.58
467,467,10/30/2023,Transfer,1304.92,6474.22
468,468,4/11/2023,Transfer,3484.71,6682.61
469,469,4/28/2023,Withdrawal,4307.06,8364.95
470,470,1/10/2023,Withdrawal,2185.62,2838.28
471,471,4/27/2023,Transfer,2780.46,4427.55
472,472,12/14/2023,Withdrawal,1039.77,4401.32
473,473,6/29/2023,Deposit,3957.5,5191.02
474,474,8/12/2023,Transfer,4442.89,9138.34
475,475,8/12/2023,Withdrawal,2433.13,10734.31
476,476,9/5/2023,Transfer,812.76,2777.21
477,477,9/11/2023,Withdrawal,35.46,694.9
478,478,11/15/2023,Deposit,2686.69,6802.87
479,479,11/22/2023,Transfer,2493.2,150.69
480,480,5/17/2023,Withdrawal,4629.79,12982.27
481,481,8/18/2023,Deposit,192.06,2839.66
482,482,12/16/2023,Deposit,753.27,889.56
483,483,2/10/2023,Withdrawal,996.46,8348.52
484,484,2/9/2023,Transfer,2740.15,10546.37
485,485,9/29/2023,Withdrawal,1430.83,9882.6
486,486,9/9/2023,Withdrawal,1036.34,9698.54
487,487,1/25/2023,DEP,2576.93,7459.93
488,488,5/18/2023,Withdrawal,212.86,4275.01
489,489,1/9/2023,Withdrawal,4876.46,2658.13
490,490,10/23/2023,Transfer,4306.48,10043.4
491,491,2/26/2023,Withdrawal,1367.09,8289.22
492,492,10/29/2023,Transfer,1687.49,2133.29
493,493,4/29/2023,Withdrawal,1237.03,1761.5
494,494,9/20/2023,Deposit,4642.71,10576.83
495,495,6/20/2023,Withdrawal,3269.45,329.9
496,496,12/26/2023,Transfer,2610.68,881.79
497,497,7/23/2023,Transfer,2547.91,8236.65
498,498,2/26/2023,Withdrawal,837.94,10063.57
499,499,5/25/2023,Withdrawal,4813.61,-2070.72
500,500,1/25/2023,Withdrawal,4573.84,-715.87
501,501,4/21/2023,Transfer,4762.58,13685.95
502,502,2/24/2023,Transfer,1461.75,10424.42
503,503,5/27/2023,Deposit,2388.48,33.95
504,504,2/1/2023,DEP,2599.44,9692.11
505,505,3/28/2023,Transfer,2453.48,6667.53
506,506,6/9/2023,Transfer,105.76,9472.17
507,507,3/13/2023,Transfer,4167.41,11516.64
508,508,1/22/2023,Transfer,3735.26,8729.36
509,509,8/26/2023,Deposit,2379.24,5813.13
510,510,7/2/2023,Transfer,1344.34,8634.66
511,511,5/16/2023,Transfer,3178.53,1347.2
512,512,2/15/2023,Withdrawal,700.08,3097.69
513,513,1/5/2023,Deposit,4986.42,11096.08
514,514,1/12/2023,Deposit,635.45,6227.07
515,515,1/27/2023,Deposit,301.69,7375.73
516,516,3/25/2023,Withdrawal,3065.92,1722.55
517,517,2/5/2023,Deposit,2322.42,5712.12
518,518,2/21/2023,withdraw,3597.81,11834.86
519,519,5/10/2023,DEP,648.56,10235.34
520,520,3/15/2023,Transfer,1825.09,10478.51
521,521,9/5/2023,Deposit,2510.16,4345.15
522,522,1/12/2023,Deposit,2240.49,1425.0
523,523,2/24/2023,Transfer,2919.34,9181.92
524,524,12/2/2023,Withdrawal,517.73,1619.21
525,525,9/11/2023,Withdrawal,2523.59,7909.33
526,526,6/8/2023,Withdrawal,2778.29,10612.34
